"id";"car_model";"license_plate";"pickup_location";"dropoff_location";"pickup_datetime";"dropoff_datetime";"price_per_hour";"total_price";"status";"car_class"
1;"Toyota Corolla";"ABC123";"Baku City Center";"Baku Airport";"2024-05-18 08:00:00";"2024-05-18 10:00:00";15.0;30.0;0;"economy"
2;"Ford Focus";"XYZ789";"Baku City Center";"Baku Old Town";"2024-05-18 09:00:00";"2024-05-18 11:00:00";12.5;25.0;0;"standard"
3;"Honda Civic";"JKL456";"Baku Mall";"Baku City Center";"2024-05-18 10:00:00";"2024-05-18 12:00:00";13.0;26.0;0;"economy"
4;"Chevrolet Spark";"MNO321";"Baku Train Station";"Baku Mall";"2024-05-18 11:00:00";"2024-05-18 13:00:00";10.0;20.0;0;"economy"
5;"Volkswagen Golf";"GHI654";"Baku Port";"Baku City Center";"2024-05-18 12:00:00";"2024-05-18 14:00:00";14.0;28.0;0;"standard"
6;"BMW 3 Series";"PQR678";"Baku Old Town";"Baku Train Station";"2024-05-18 13:00:00";"2024-05-18 15:00:00";20.0;40.0;0;"premium"
7;"Mercedes-Benz C-Class";"STU901";"Baku Mall";"Baku Port";"2024-05-18 14:00:00";"2024-05-18 16:00:00";22.0;44.0;0;"premium"
8;"Audi A4";"VWX234";"Baku City Center";"Baku Old Town";"2024-05-18 15:00:00";"2024-05-18 17:00:00";21.0;42.0;0;"premium"
9;"Hyundai Elantra";"YZA345";"Baku Train Station";"Baku City Center";"2024-05-18 16:00:00";"2024-05-18 18:00:00";13.5;27.0;0;"standard"
10;"Kia Rio";"BCD567";"Baku Port";"Baku Old Town";"2024-05-18 17:00:00";"2024-05-18 19:00:00";12.0;24.0;0;"economy"
11;"Nissan Altima";"EFG678";"Baku Old Town";"Baku Train Station";"2024-05-18 18:00:00";"2024-05-18 20:00:00";15.5;31.0;0;"standard"
12;"Skoda Octavia";"HIJ789";"Baku City Center";"Baku Mall";"2024-05-18 19:00:00";"2024-05-18 21:00:00";14.5;29.0;0;"standard"
13;"Mazda 3";"KLM012";"Baku Mall";"Baku City Center";"2024-05-18 20:00:00";"2024-05-18 22:00:00";15.0;30.0;0;"standard"
14;"Toyota Camry";"NOP345";"Baku City Center";"Baku Port";"2024-05-18 21:00:00";"2024-05-18 23:00:00";18.0;36.0;0;"premium"
15;"Honda Accord";"QRS456";"Baku Train Station";"Baku Old Town";"2024-05-18 22:00:00";"2024-05-19 00:00:00";19.0;38.0;0;"premium"
16;"Ford Fiesta";"TUV789";"Baku Port";"Baku Mall";"2024-05-19 08:00:00";"2024-05-19 10:00:00";10.5;21.0;0;"economy"
17;"Chevrolet Malibu";"WXY012";"Baku Old Town";"Baku City Center";"2024-05-19 09:00:00";"2024-05-19 11:00:00";17.0;34.0;0;"premium"
18;"Renault Megane";"ZAB345";"Baku Mall";"Baku Train Station";"2024-05-19 10:00:00";"2024-05-19 12:00:00";14.0;28.0;0;"standard"
19;"Volkswagen Passat";"CDE567";"Baku City Center";"Baku Old Town";"2024-05-19 11:00:00";"2024-05-19 13:00:00";16.0;32.0;0;"premium"
20;"Hyundai Sonata";"FGH678";"Baku Train Station";"Baku Port";"2024-05-19 12:00:00";"2024-05-19 14:00:00";15.0;30.0;0;"standard"
21;"Kia Optima";"IJK789";"Baku Port";"Baku Mall";"2024-05-19 13:00:00";"2024-05-19 15:00:00";15.5;31.0;0;"standard"
22;"Nissan Sentra";"LMN012";"Baku Old Town";"Baku City Center";"2024-05-19 14:00:00";"2024-05-19 16:00:00";13.0;26.0;0;"economy"
23;"Skoda Superb";"OPQ345";"Baku Mall";"Baku Train Station";"2024-05-19 15:00:00";"2024-05-19 17:00:00";17.5;35.0;0;"premium"
24;"Mazda 6";"RST456";"Baku City Center";"Baku Port";"2024-05-19 16:00:00";"2024-05-19 18:00:00";16.5;33.0;0;"standard"
25;"Toyota RAV4";"UVW789";"Baku Train Station";"Baku Old Town";"2024-05-19 17:00:00";"2024-05-19 19:00:00";18.0;36.0;0;"premium"
26;"Honda CR-V";"XYZ012";"Baku Port";"Baku Mall";"2024-05-19 18:00:00";"2024-05-19 20:00:00";18.5;37.0;0;"premium"
27;"Ford Kuga";"ABC234";"Baku Old Town";"Baku City Center";"2024-05-19 19:00:00";"2024-05-19 21:00:00";16.0;32.0;0;"standard"
